UF,Total (1 000 pessoas),Total (1 000 pessoas) CV (%),Branca  (Total),Branca CV (%),Preta Total,Preta CV (%),Parda (Total),Parda CV (%),Amarela ou indígena (Total),Amarela ou indígena CV (%),Ano:
Roraima,436,50500000000176,-,22,050191303747368,5,6609265134327034,6,7562477842534179,9,1295787217898337,67,703183782839233,1,9355289578852912,3,4903771291603669,21,275388694530719,2013
Pará,8014,492999999813,-,19,790608728259173,3,2988076449491399,6,7867839336865545,6,5831556035857659,72,952861513500068,1,04238799665839,0,46974582455391356,20,329825564879421,2013
Amapá,737,9410000000064,-,19,523683481248263,6,5354419807133928,12,90075253976274,17,402200370711252,67,206218616389251,3,7951845926615886,0,36934536260057149,42,5010904370099,2013
Tocantins,1455,0390000000318,-,20,66182239651765,4,8430944317228022,7,9809315147448867,8,3525833690276876,70,969015741013934,1,5979859964482159,0,38823034772469101,24,681601869306931,2013
Maranhão,6803,0629999998873,-,19,889794356498449,2,5072972567562175,11,207097065538122,4,2944832250175402,68,56808539018941,0,89752443203020371,0,33502318777580853,22,408017019944246,2013
Piauí,3220,6459999999861,-,23,221278641806386,3,7850999520048787,6,5095402681995225,7,5939899298426674,70,223327827910524,1,2582130108082175,4,5853262085139367E-2,53,887491133822522,2013
Ceará,8789,3340000001699,-,29,352410478204479,2,2045564873324448,3,5577253919600098,7,2552739290068393,66,884245205256008,0,99483478653840685,0,20561892458062808,19,039509468814899,2013
Rio Grande do Norte,3332,9520000000489,-,39,183046344692912,2,4347732033523806,3,1388947234876885,9,7260909176639387,57,563849822340586,1,6257289567170727,0,1142091094782932,30,999003968846207,2013
Paraíba,3870,1820000000307,-,35,946884632600387,2,5808993620676195,3,3650125299491362,9,4869114235922698,60,413060592532275,1,5615861891568923,0,2750422449177079,23,267386500207092,2013
Pernambuco,9133,8569999997817,-,33,732570183433424,2,5984779713308019,5,3057031262300907,7,2510183935615924,60,686371702583862,1,4422384585431725,0,27535498775084222,21,527451817732633,2013
Alagoas,3240,8009999998576,-,23,341412076423406,3,1920907966138876,5,0822729627217385,7,5259771817691847,71,297671752157896,1,0828625162183283,0,27864320869715448,21,436442876448446,2013
